EEG,alpha,beta,delta,theta
4.66919,0.911028,-0.835822,-0.153907,0.427555
4.81568,0.705104,-0.822626,-0.256897,0.353671
2.92969,0.42837,-0.398923,-0.357927,0.254328
0.384522,0.102666,-0.146392,-0.456031,0.132099
-1.5686,-0.243735,-0.459834,-0.550243,-0.00912742
-3.69263,-0.578885,-1.24055,-0.639609,-0.164311
-5.77393,-0.870575,-1.93981,-0.723205,-0.327468
-6.62232,-1.08993,-1.92192,-0.800139,-0.491924
-5.10865,-1.2147,-0.903276,-0.869566,-0.650626
-1.83106,-1.23182,0.82065,-0.930697,-0.796498
0.164795,-1.13892,2.50416,-0.982812,-0.922809
-0.0488282,-0.944682,3.35237,-1.02527,-1.02351
-0.500489,-0.667771,2.95022,-1.05753,-1.09355
0.231934,-0.334746,1.474,-1.07915,-1.1291
0.726319,0.0229419,-0.418883,-1.08978,-1.12773
-0.695801,0.372376,-1.94074,-1.08922,-1.08855
-2.80152,0.682589,-2.56204,-1.07734,-1.01224
-2.6062,0.927575,-2.23261,-1.05419,-0.901041
-0.158692,1.08857,-1.33534,-1.0199,-0.758608
1.48926,1.15539,-0.420128,-0.974743,-0.589849
0.390625,1.12677,0.120613,-0.919106,-0.40068
-0.708008,1.0097,0.249486,-0.853504,-0.197783
-0.152588,0.818005,0.247233,-0.778564,0.0116637
2.55737,0.570463,0.471398,-0.695023,0.220288
4.90113,0.288706,1.06422,-0.603724,0.420857
5.98755,-0.0048066,1.80035,-0.505605,0.606609
6.96412,-0.28858,2.18644,-0.401693,0.771563
6.73218,-0.543471,1.76893,-0.293082,0.910757
5.09644,-0.753594,0.465392,-0.180928,1.02041
2.16065,-0.906805,-1.29856,-0.0664358,1.09803
-0.744629,-0.994882,-2.75806,0.0491493,1.14239
-0.982667,-1.01355,-3.20764,0.164555,1.15357
0.634766,-0.962417,-2.40182,0.278495,1.13287
3.16162,-0.844865,-0.714039,0.389693,1.08269
4.62647,-0.667904,1.05303,0.49689,1.00639
4.52271,-0.44201,2.10436,0.598864,0.908032
3.21655,-0.180913,2.08256,0.69444,0.792197
3.4668,0.098728,1.2371,0.782505,0.663712
5.31617,0.377898,0.233867,0.862012,0.527422
7.83082,0.636149,-0.276674,0.932002,0.387962
9.76563,0.852948,-0.067405,0.991602,0.249548
9.57032,1.00941,0.533396,1.04005,0.11582
8.52051,1.09021,0.870413,1.07668,-0.010269
6.78101,1.08536,0.413,1.10095,-0.126523
5.64576,0.991587,-0.849409,1.11244,-0.231503
4.15039,0.813175,-2.32364,1.11086,-0.324483
2.00806,0.562169,-3.11524,1.09602,-0.405372
0.842286,0.257754,-2.55648,1.06788,-0.474625
2.11792,-0.0751623,-0.650344,1.02652,-0.533122
5.45044,-0.408077,1.84737,0.97211,-0.58202
8.22144,-0.7115,3.7823,0.904969,-0.622584
8.4961,-0.957787,4.20726,0.825508,-0.656037
6.03028,-1.12394,2.89603,0.73425,-0.683431
1.95313,-1.19397,0.465805,0.631814,-0.705539
-2.13013,-1.16066,-1.96369,0.51891,-0.722768
-3.19824,-1.02624,-3.37039,0.396327,-0.735096
-0.994874,-0.80222,-3.33428,0.264925,-0.742037
1.5686,-0.508159,-2.16185,0.125622,-0.742666
1.13525,-0.169808,-0.594063,-0.0206139,-0.735706
-0.909424,0.183325,0.677457,-0.172781,-0.719664
-1.06812,0.520662,1.3615,-0.329856,-0.692978
2.2583,0.813292,1.5825,-0.490801,-0.654139
5.50537,1.03646,1.60939,-0.65458,-0.601785
6.31104,1.17151,1.54746,-0.820164,-0.534807
4.69971,1.20729,1.24764,-0.98654,-0.452512
2.49634,1.14078,0.498257,-1.15272,-0.354784
0.811768,0.977259,-0.671848,-1.31776,-0.242226
-0.0427246,0.729873,-1.85175,-1.48076,-0.11622
-0.65918,0.418585,-2.42514,-1.64087,0.0210545
-0.244141,0.0686973,-1.97313,-1.7973,0.166655
1.08643,-0.290984,-0.617253,-1.94933,0.316951
1.67847,-0.630247,0.969341,-2.09631,0.467763
0.939942,-0.91976,1.93294,-2.23764,0.614542
-0.299072,-1.13346,1.76807,-2.37281,0.75254
-1.48926,-1.25081,0.650648,-2.50141,0.876976
-1.62354,-1.25883,-0.661054,-2.62305,0.983213
-1.86157,-1.15355,-1.30657,-2.73746,1.06698
-0.872803,-0.940953,-0.874625,-2.84441,1.12465
1.65405,-0.637119,0.334642,-2.94374,1.1534
3.71094,-0.267409,1.5045,-3.03533,1.15141
3.94898,0.135318,1.82121,-3.11915,1.11786
2.03247,0.53345,0.981655,-3.19519,1.05301
-0.799561,0.888097,-0.625754,-3.2635,0.958279
-2.39868,1.16299,-2.1605,-3.32417,0.836212
-2.771,1.3284,-2.81889,-3.3773,0.690482
-1.42212,1.36469,-2.26568,-3.42304,0.525713
-0.146484,1.26492,-0.767999,-3.46157,0.347272
1.01318,1.03636,1.00451,-3.49304,0.16104
0.8667,0.700395,2.35176,-3.51765,-0.026822
1.05591,0.290797,2.85647,-3.53558,-0.210121
1.50147,-0.149622,2.48792,-3.54699,-0.382903
0.909424,-0.573668,1.49867,-3.55205,-0.53973
-0.946045,-0.935178,0.233838,-3.55091,-0.675917
-3.82691,-1.1945,-1.01237,-3.54372,-0.787698
-6.09131,-1.32338,-2.03109,-3.53061,-0.87235
-7.58057,-1.3085,-2.65803,-3.51169,-0.928279
-8.21534,-1.15329,-2.73875,-3.48704,-0.955078
-8.76465,-0.877541,-2.15939,-3.45674,-0.95353
-7.34864,-0.515029,-0.935974,-3.42083,-0.925553
-4.27246,-0.109315,0.702572,-3.37934,-0.874089
-0.695801,0.291657,2.31522,-3.33229,-0.802953
0.726319,0.641554,3.36939,-3.27968,-0.716623
0.305176,0.901479,3.4472,-3.22149,-0.61998
-0.115967,1.04481,2.44451,-3.15772,-0.518008
-0.732422,1.06036,0.657795,-3.08834,-0.415519
-2.00806,0.953385,-1.30202,-3.01332,-0.316908
-4.88892,0.744416,-2.74721,-2.93263,-0.22595
-7.51954,0.46604,-3.20061,-2.84629,-0.145626
-7.53174,0.158133,-2.59576,-2.75427,-0.0779843
-6.40259,-0.137834,-1.28786,-2.65663,-0.0240259
-5.16968,-0.384561,0.13288,-2.55339,0.0163427
-4.80957,-0.553886,1.12996,-2.44466,0.0442824
-5.41382,-0.630247,1.45973,-2.33055,0.0619114
-5.74952,-0.6122,1.23827,-2.21121,0.0721364
-5.24292,-0.511876,0.811619,-2.08684,0.0784424
-3.91236,-0.352518,0.517992,-1.95766,0.0846513
-1.80664,-0.164516,0.488437,-1.82395,0.0946497
-0.622559,0.0194833,0.600993,-1.68603,0.1121
-0.378418,0.169637,0.601327,-1.54427,0.14015
-1.45264,0.263389,0.298101,-1.39909,0.181165
-3.01514,0.288707,-0.298407,-1.25094,0.236512
-4.1687,0.245587,-0.978215,-1.10032,0.306421
-3.6377,0.145606,-1.45984,-0.947771,0.389922
-3.21655,0.0096615,-1.5507,-0.793859,0.484808
-3.52173,-0.135666,-1.23538,-0.639183,0.587658
